40
0	1	44	0
1	12	19	0
2	27	15	0
3	56	14	0
4	81	14	0
5	106	14	0
6	125	14	0
7	153	14	0
8	185	14	0
9	213	14	0
10	245	14	0
11	277	14	0
12	299	14	0
13	320	14	0
14	345	14	0
15	370	14	0
16	395	15	0
17	416	15	0
18	432	19	0
19	445	21	1
20	446	40	1
21	438	57	0
22	425	66	0
23	408	72	0
24	389	77	0
25	368	81	0
26	339	83	0
27	311	97	0
28	283	110	0
29	256	119	0
30	226	123	0
31	197	122	0
32	167	117	0
33	132	104	0
34	108	96	0
35	85	93	0
36	54	88	0
37	32	86	0
38	15	84	0
39	6	70	0

//////////////////////
40	62	5	0
41	81	1	0
42	100	5	0
//////////////////////
43	326	5	0
44	345	1	0
45	364	5	0
